Rk,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
1,Max Aarons,DF,Bournemouth,eng Premier League,23.0,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.8,0.9,22.0,43.0,26.0,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06
1540,Sebastiano Luperto,DF,Empoli,it Serie A,26.0,38,38,3406,37.8,1,1,2,1,0,0,4,0,1.7,1.0,2.7,13.0,100.0,13.0,0.03,0.03,0.05,0.03,0.05,0.04,0.03,0.07,0.04,0.07
1535,Castello Lukeba,DF,RB Leipzig,de Bundesliga,20.0,32,24,2191,24.3,1,0,1,1,0,0,3,0,0.8,0.1,0.9,23.0,107.0,9.0,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04
1532,José Luis Palomino,DF,Atalanta,it Serie A,33.0,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530,José Luis Gayà,DF,Valencia,es La Liga,28.0,24,22,1791,19.9,1,2,3,1,0,0,2,0,0.5,2.6,3.1,41.0,72.0,97.0,0.05,0.1,0.15,0.05,0.15,0.02,0.13,0.15,0.02,0.15
1529,Jhon Lucumí,DF,Bologna,it Serie A,25.0,29,23,2217,24.6,0,0,0,0,0,0,1,0,0.8,0.3,1.1,28.0,93.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
1527,Lucas,DF,Cádiz,es La Liga,22.0,28,15,1539,17.1,1,0,1,1,0,0,6,0,0.8,1.9,2.7,30.0,47.0,65.0,0.06,0.0,0.06,0.06,0.06,0.05,0.11,0.16,0.05,0.16
1522,Dejan Lovren,DF,Lyon,fr Ligue 1,34.0,10,8,718,8.0,0,0,0,0,0,0,2,1,0.4,0.0,0.5,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
1521,Matteo Lovato,DF,Salernitana,it Serie A,23.0,13,11,947,10.5,0,0,0,0,0,0,2,0,0.0,0.2,0.2,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
582,Thierry Correia,DF,Valencia,es La Liga,24.0,31,25,2154,23.9,0,2,2,0,0,0,4,1,0.6,2.1,2.7,40.0,80.0,56.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.11,0.03,0.11
